businesstype,year,predicted_count,ci_lower,ci_upper
duplex *historic*,2025,18.326120597135507,5.018309556034253,33.86558946314114
duplex *historic*,2026,18.934892680888257,5.055908808684133,35.149220371017044
duplex *historic*,2027,19.543664764641004,5.075253650380621,36.4391354863235
duplex *historic*,2028,20.15243684839374,5.09459849207711,37.72907877885
duplex *historic*,2029,20.76120893214651,5.113943333773594,38.9969933984435
financial services *historic*,2025,52.77375665480156,29.47925122162546,76.27061001990161
financial services *historic*,2026,54.44057854580574,30.056577581056718,78.91526359541098
financial services *historic*,2027,56.10740043680996,30.534446194017157,81.80439794147752
financial services *historic*,2028,57.7742223278141,31.012314806977653,84.58853414607745
financial services *historic*,2029,59.441044218818305,31.490183419938038,87.37267035067697
ltd service food establishment *historic*,2025,21.45380345938344,5.251258318158184,45.194730201751
ltd service food establishment *historic*,2026,21.452103134043565,4.5988938371340975,46.28449008097005
ltd service food establishment *historic*,2027,21.450402808703664,3.3472416984088227,47.374249960189324
ltd service food establishment *historic*,2028,21.448702483363768,1.9599800955609799,48.492531556738534
ltd service food establishment *historic*,2029,21.4470021580239,0.37777942809195814,49.58060070312617
wholesale  dealer *historic*,2025,32.12482357961186,15.011032936662666,50.29983539710386
wholesale  dealer *historic*,2026,32.77376537425603,14.955825604475828,51.635653097023166
wholesale  dealer *historic*,2027,33.42270716890024,14.89782842580356,53.091421978811184
wholesale  dealer *historic*,2028,34.07164896354442,14.905498106002593,54.508369571679395
wholesale  dealer *historic*,2029,34.720590758188585,14.93132625924986,55.768644126668306
vending machines *historic*,2025,0.0,0.0,1.0
vending machines *historic*,2026,0.0,0.0,1.0
vending machines *historic*,2027,0.0,0.0,1.0
vending machines *historic*,2028,0.0,0.0,1.0
vending machines *historic*,2029,0.0,0.0,1.0
community association *historic*,2025,16.101643089057116,3.2262860260430153,28.60352617454122
community association *historic*,2026,16.561354857245348,3.1443870836319343,29.887059740574358
community association *historic*,2027,17.02106662543359,2.9359818956336596,31.15457234475297
community association *historic*,2028,17.480778393621815,2.683873934122048,32.33804094828583
community association *historic*,2029,17.940490161810057,2.3576067461396923,33.46970632567645
personal care home *historic*,2025,1.560714438176185,0.0,6.30042918454933
personal care home *historic*,2026,1.5308544946131752,0.0,6.459227467811161
personal care home *historic*,2027,1.500994551050164,0.0,6.618025751072935
personal care home *historic*,2028,1.4711346074871534,0.0,6.776824034334766
personal care home *historic*,2029,1.4412746639241463,0.0,6.93562231759654
retail dealer *historic*,2025,90.17694724523871,44.25218549848307,142.7629393711295
retail dealer *historic*,2026,92.17601049282807,42.83008688217457,146.48614870507376
retail dealer *historic*,2027,94.1750737404173,41.23029542179044,150.25723704190236
retail dealer *historic*,2028,96.17413698800651,40.47300917752737,154.02832537873184
retail dealer *historic*,2029,98.17320023559587,41.12432213091886,157.79941371556046
equipment operator *historic*,2025,1.8383121853050115,0.5986668155513997,4.582430109378751
equipment operator *historic*,2026,1.7692956303028817,0.4347773785010035,4.649445423709099
equipment operator *historic*,2027,1.700279075300754,0.2712461553928052,4.695650241235342
equipment operator *historic*,2028,1.631262520298625,0.09596748278668923,4.74185505876157
equipment operator *historic*,2029,1.5622459652964944,0.0,4.794638369760321
contractor *historic*,2025,76.7460739873003,23.003769285573338,159.54900947390632
contractor *historic*,2026,78.50701375449067,22.04666992510875,164.9410433017738
contractor *historic*,2027,80.26795352168118,21.052536594414132,170.33307712964123
contractor *historic*,2028,82.02889328887154,19.92682552949966,175.7506567406947
contractor *historic*,2029,83.78983305606197,18.801114464584945,181.19161470992032
exhibitions/shows/concerts *historic*,2025,9.335973058222661,3.375751618523454,15.307657082972632
exhibitions/shows/concerts *historic*,2026,9.606489091908,3.318558872515292,15.913240390126532
exhibitions/shows/concerts *historic*,2027,9.877005125593353,3.2785075651854574,16.520113167367345
exhibitions/shows/concerts *historic*,2028,10.147521159278677,3.2299162015389546,17.126985944608165
