month_start,count,date,is_crisis
1997-01-01,27,1997-01-01,0
1997-02-01,84,1997-02-01,0
1997-03-01,134,1997-03-01,0
1997-04-01,93,1997-04-01,0
1997-05-01,15,1997-05-01,0
1997-06-01,4,1997-06-01,0
1997-07-01,2,1997-07-01,0
1997-08-01,1,1997-08-01,0
1997-09-01,1,1997-09-01,0
1997-10-01,3,1997-10-01,0
1997-11-01,1,1997-11-01,0
1997-12-01,6,1997-12-01,0
1998-01-01,12,1998-01-01,0
1998-02-01,18,1998-02-01,0
1998-03-01,21,1998-03-01,0
1998-04-01,8,1998-04-01,0
1998-05-01,1,1998-05-01,0
1998-06-01,1,1998-06-01,0
1998-07-01,1,1998-07-01,0
1998-08-01,2,1998-08-01,0
1998-09-01,1,1998-09-01,0
1998-10-01,0,1998-10-01,0
1998-11-01,0,1998-11-01,0
1998-12-01,11,1998-12-01,0
1999-01-01,91,1999-01-01,0
1999-02-01,77,1999-02-01,0
1999-03-01,29,1999-03-01,0
1999-04-01,8,1999-04-01,0
1999-05-01,4,1999-05-01,0
1999-06-01,3,1999-06-01,0
1999-07-01,2,1999-07-01,0
1999-08-01,1,1999-08-01,0
1999-09-01,2,1999-09-01,0
1999-10-01,2,1999-10-01,0
1999-11-01,0,1999-11-01,0
1999-12-01,13,1999-12-01,0
2000-01-01,22,2000-01-01,1
2000-02-01,23,2000-02-01,1
2000-03-01,15,2000-03-01,1
2000-04-01,2,2000-04-01,1
2000-05-01,0,2000-05-01,1
2000-06-01,0,2000-06-01,1
2000-07-01,0,2000-07-01,1
2000-08-01,0,2000-08-01,1
2000-09-01,0,2000-09-01,1
2000-10-01,0,2000-10-01,1
2000-11-01,0,2000-11-01,1
2000-12-01,2,2000-12-01,1
2001-01-01,22,2001-01-01,1
2001-02-01,21,2001-02-01,1
2001-03-01,13,2001-03-01,1
2001-04-01,4,2001-04-01,1
2001-05-01,2,2001-05-01,1
2001-06-01,9,2001-06-01,1
2001-07-01,2,2001-07-01,1
2001-08-01,1,2001-08-01,1
2001-09-01,0,2001-09-01,1
2001-10-01,0,2001-10-01,1
2001-11-01,1,2001-11-01,1
2001-12-01,9,2001-12-01,1
2002-01-01,63,2002-01-01,1
2002-02-01,38,2002-02-01,1
2002-03-01,14,2002-03-01,1
2002-04-01,5,2002-04-01,1
2002-05-01,1,2002-05-01,1
2002-06-01,1,2002-06-01,1
2002-07-01,0,2002-07-01,1
2002-08-01,0,2002-08-01,1
2002-09-01,0,2002-09-01,1
2002-10-01,0,2002-10-01,1
2002-11-01,4,2002-11-01,1
2002-12-01,55,2002-12-01,1
2003-01-01,109,2003-01-01,0
2003-02-01,38,2003-02-01,0
2003-03-01,20,2003-03-01,0
2003-04-01,41,2003-04-01,0
2003-05-01,52,2003-05-01,0
2003-06-01,68,2003-06-01,0
2003-07-01,85,2003-07-01,0
2003-08-01,65,2003-08-01,0
2003-09-01,66,2003-09-01,0
2003-10-01,58,2003-10-01,0
2003-11-01,42,2003-11-01,0
2003-12-01,238,2003-12-01,0
2004-01-01,219,2004-01-01,0
2004-02-01,36,2004-02-01,0
2004-03-01,28,2004-03-01,0
2004-04-01,12,2004-04-01,0
2004-05-01,8,2004-05-01,0
2004-06-01,9,2004-06-01,0
2004-07-01,7,2004-07-01,0
2004-08-01,6,2004-08-01,0
2004-09-01,7,2004-09-01,0
2004-10-01,5,2004-10-01,0
2004-11-01,165,2004-11-01,0
2004-12-01,665,2004-12-01,0
2005-01-01,488,2005-01-01,0
2005-02-01,135,2005-02-01,0
2005-03-01,101,2005-03-01,0
2005-04-01,62,2005-04-01,0
2005-05-01,69,2005-05-01,0
2005-06-01,37,2005-06-01,0
2005-07-01,19,2005-07-01,0
2005-08-01,18,2005-08-01,0
2005-09-01,16,2005-09-01,0
2005-10-01,22,2005-10-01,0
2005-11-01,249,2005-11-01,0
