year,cancelled,gone out of business,inactive,issued,pending
1997,0,13,7,351,0
1998,0,4,1,71,0
1999,0,1,7,224,0
2000,0,0,0,64,0
2001,0,0,1,83,0
2002,0,4,4,173,0
2003,2,7,9,864,0
2004,1,31,32,1103,0
2005,0,45,68,1761,3
2006,0,39,38,1209,0
2007,0,5,11,297,0
2008,0,5,4,438,0
2009,2,2,9,441,0
2010,1,2,14,306,0
2011,0,2,7,86,0
2012,0,0,1,46,0
2014,1,0,0,0,0
2016,0,13,32,766,0
2017,0,6,20,514,0
2018,1,16,36,1203,0
2019,2,41,50,1962,4
2020,0,1,12,369,1
2022,0,45,41,1138,3
2023,8,147,959,7597,7
2024,2,56,355,2640,1
