folderyear,licencersn,licencenumber,licencerevisionnumber,businessname,businesstradename,status,issueddate,expireddate,businesstype,businesssubtype,unit,unittype,house,street,city,province,country,postalcode,localarea,numberofemployees,feepaid,extractdate,geom
98,173103,98-212536,00,Rubien Tang Benjamin Ng,,Gone Out of Business,,,Duplex *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,173119,98-212552,00,Terrise Mathers & Arthur Schmale,,Pending,,,Duplex *Historic*,,,,,,VANCOUVER,BC,CA,,,000,,2025-04-22T14:20:59+00:00,
98,173217,98-212650,00,Kam Fung Kwan,,Issued,1998-02-25,1998-12-31,Duplex *Historic*,,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,173496,98-212929,00,Pierre Moreau,,Pending,,,Duplex *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,173617,98-213050,00,Patricia Salter,,Pending,,,Duplex *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,174291,98-213723,00,Unimet Capital Corp,,Issued,1998-03-27,1998-12-31,Financial Services *Historic*,Investment Company,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,174306,98-213738,00,Sector Securities Inc,,Issued,1998-02-26,1998-12-31,Financial Services *Historic*,Finance Agent,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,174307,98-213739,00,Quorum Funding Corp,,Gone Out of Business,,,Financial Services *Historic*,Finance Agent,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,174395,98-213827,00,Simon Ma,,Issued,1998-04-07,1998-12-31,Financial Services *Historic*,Accountant/Auditor,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,174457,98-213889,00,(Steffany Gabriel),Steffany Gabriel Bookkeeping Services,Gone Out of Business,,,Financial Services *Historic*,Bookkeeping Service,,,,,Surrey,BC,,,,000,,2025-04-22T14:20:59+00:00,
98,174537,98-213969,00,Johnson Chi,,Gone Out of Business,,,Financial Services *Historic*,Investment Company,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,174652,98-214084,00,Mandarin Group Holdings (canada) Inc,,Issued,1998-03-30,1998-12-31,Financial Services *Historic*,Investment Company,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,174676,98-214108,00,Custom House Currency Exchange,,Gone Out of Business,,,Financial Services *Historic*,Currency Exchange,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,174872,98-214304,00,Majewski Shaler & Co,,Issued,1998-04-03,1998-12-31,Financial Services *Historic*,Accountant/Auditor,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,174979,98-214411,00,J William Raven,,Issued,1998-02-27,1998-12-31,Financial Services *Historic*,Accountant/Auditor,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,175091,98-214523,00,Taklin Investments Ltd,,Issued,1998-03-10,1998-12-31,Financial Services *Historic*,Investment Company,,,,,,,,,,000,88.0,2025-04-22T14:20:59+00:00,
98,175585,98-215014,00,Granville Food Market,,Gone Out of Business,1998-03-16,1998-12-31,Ltd Service Food Establishment *Historic*,,,,,,,,,,,000,354.0,2025-04-22T14:20:59+00:00,
98,176058,98-215486,00,7-Eleven Food Stores #20874,,Issued,1998-03-25,1998-12-31,Ltd Service Food Establishment *Historic*,,,,,,,,,,,000,322.0,2025-04-22T14:20:59+00:00,
98,176374,98-215798,00,Gerardo Baron Cynthia Baron,,Gone Out of Business,,,Multiple Dwelling *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,176532,98-215956,00,Suzu Speier,,Pending,,,Multiple Dwelling *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,176654,98-216078,00,Dale Morgan,,Gone Out of Business,,,Multiple Dwelling *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,177706,98-217128,00,Bekke Associates Ltd,,Gone Out of Business,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,177805,98-217227,00,Vimi Jewelry Co Ltd,,Gone Out of Business,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,177925,98-217346,00,1st Choice Office Systems Inc,,Gone Out of Business,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,178287,98-217708,00,Rii Rom-It Productions Inc,,Gone Out of Business,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,178342,98-217763,00,Performance Videowall Inc,,Inactive,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,178363,98-217784,00,H K Fountain Trading (canada) Inc,,Gone Out of Business,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,178448,98-217868,00,Sze's Products International Ltd,,Gone Out of Business,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,178542,98-217962,00,Intellimove Investment Ltd,,Gone Out of Business,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
98,178640,98-218060,00,Joto Paper Ltd,,Gone Out of Business,,,Wholesale  Dealer *Historic*,,,,,,,,,,,000,,2025-04-22T14:20:59+00:00,
